gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NAV2-AS2	32.310112785014	2.47569007767286	0.391823126824916	6.31838681329065	2.64307771603924e-10	2.24815059051680e-09
NTRK2	63.728699231342	1.79007220040201	0.28349810406749	6.31422988273623	2.71510096455977e-10	2.30834001689801e-09
SPINK6	20.5983097007457	7.82939568877208	1.24172716760036	6.30524634803829	2.8773586900341e-10	2.43949396715715e-09
HPDL	105.00888606889	-1.27984315087327	0.203254242812131	-6.29675982732736	3.03931633765145e-10	2.57204251808738e-09
CRISPLD2	67.1274177965017	1.72522573976596	0.275398889204054	6.26446150437327	3.74115964067537e-10	3.15141934221196e-09
PTGS1	29.3558281036669	2.68841496662146	0.429477512789898	6.25973394778563	3.85634811444992e-10	3.24546429319492e-09
CNIH3	50.2815973898158	1.86349463322866	0.298207846021353	6.24897922067156	4.13143871948346e-10	3.4642416332372e-09
GLIS3-AS1	83.9041401436548	1.42071541124406	0.227661088463005	6.24048413734494	4.36218633053805e-10	3.65103831220948e-09
CGB5	25.270122323554	3.00973167177751	0.48257669021498	6.23679455059614	4.46627937044229e-10	3.73304309041121e-09
IGFL3	20.7728169975695	4.09452734674642	0.658053931118983	6.22217595415609	4.90306712243906e-10	4.0852511842321e-09
ADGRL3	65.3396212479115	1.65340037654284	0.266167980564139	6.21186805805296	5.2358383209051e-10	4.35440087060559e-09
LOC105378443	137.686840552123	1.04325215836607	0.168011480568032	6.20940994531405	5.3183916508541e-10	4.42104885620023e-09
LOC105370912	38.9575461794251	-2.24734558208585	0.362475585103093	-6.19999159790769	5.64661751269759e-10	4.6853876986874e-09
KIAA1755	33.0364383134382	2.5709095583226	0.415221200921585	6.19166254665334	5.9532900875288e-10	4.92646187857727e-09
SGCZ	18.7806847465651	7.6955131167199	1.24357658956982	6.18821002362381	6.08512200780744e-10	5.02646997424346e-09
OR7E14P	149.045853878753	1.1342330771213	0.183319061398578	6.18720753023723	6.12393214451682e-10	5.05624749154808e-09
LAMA4	81.4986367293322	1.37734673065435	0.222728545298495	6.18397039682749	6.25090948152822e-10	5.15643717726244e-09
PTPRK-AS1	131.350707116609	1.10479881439831	0.179024446984488	6.17121757954118	6.77660903698302e-10	5.58003782797977e-09
KIF5A	78.8720503476544	1.49289432089134	0.242589198880134	6.15400161170816	7.55519156092437e-10	6.1897021072764e-09
R3HDML-AS1	84.0833293480424	1.63258291729681	0.26529017115057	6.15395176615952	7.55756779985258e-10	6.1897021072764e-09
PKIA	25.3186613332526	3.32363024924609	0.540709668300712	6.1467927135301	7.90653451085268e-10	6.46394493291273e-09
SP6	122.361629019578	1.14502774364048	0.186528180374511	6.13863139254077	8.32354520972152e-10	6.79273990310295e-09
LOC100288175	89.221392987322	1.33882869309579	0.218138521383513	6.13751612784601	8.38217122274875e-10	6.83753681969701e-09
KCNQ5	140.224290051006	1.04326800664423	0.170296603445777	6.12618211716952	9.00127730597233e-10	7.31973318402626e-09
MYOZ1	17.5772618622882	7.6003182472453	1.24354555947684	6.1118132659673	9.85054074518668e-10	7.97140754160865e-09
IL31RA	92.3826155874193	1.35693915223555	0.222290242711892	6.10435768876399	1.0321490749246e-09	8.33043014944656e-09
SAMD12	44.2615173839464	-2.01250119644111	0.329870199580264	-6.10088816450191	1.05480693588459e-09	8.48711749422431e-09
NOTUM	39.3879434412679	2.19426667707009	0.359970931367281	6.09567741688361	1.08974972999287e-09	8.75672962060526e-09
